"movie_title","movie_detail","movie_num","movie_evaluate","link"
"西西里的美丽传说","
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore<U+00A0><U+00A0><U+00A0>主演: 莫妮卡·贝鲁奇 Monica ...
                            2000<U+00A0>/<U+00A0>意大利 美国<U+00A0>/<U+00A0>剧情 战争 情色
                        ","8.7","320864人评价","https://movie.douban.com/subject/1292402/"
"素媛","
                            导演: 李濬益 Jun-ik Lee<U+00A0><U+00A0><U+00A0>主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013<U+00A0>/<U+00A0>韩国<U+00A0>/<U+00A0>剧情 家庭
                        ","9.1","158623人评价","https://movie.douban.com/subject/21937452/"
"心灵捕手","
                            导演: 格斯·范·桑特 Gus Van Sant<U+00A0><U+00A0><U+00A0>主演: 马特·达蒙 Matt Damon / 罗宾·...
                            1997<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        ","8.7","252215人评价","https://movie.douban.com/subject/1292656/"
"幽灵公主","
                            导演: 宫崎骏<U+00A0><U+00A0><U+00A0>主演: 松田洋治 / 石田百合子 / 田中裕子
                            1997<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>动画 冒险 奇幻
                        ","8.8","220418人评价","https://movie.douban.com/subject/1297359/"
"第六感","
                            导演: M·奈特·沙马兰 M. Night Shyamalan<U+00A0><U+00A0><U+00A0>主演: 布鲁斯·威利斯 Bruce Wi...
                            1999<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 悬疑 恐怖
                        ","8.8","218971人评价","https://movie.douban.com/subject/1297630/"
"阳光灿烂的日子","
                            导演: 姜文 Wen Jiang<U+00A0><U+00A0><U+00A0>主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
                            1994<U+00A0>/<U+00A0>中国大陆 香港<U+00A0>/<U+00A0>剧情
                        ","8.7","253560人评价","https://movie.douban.com/subject/1291875/"
"让子弹飞","
                            导演: 姜文 Wen Jiang<U+00A0><U+00A0><U+00A0>主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010<U+00A0>/<U+00A0>中国大陆 香港<U+00A0>/<U+00A0>剧情 喜剧 动作 西部
                        ","8.7","590287人评价","https://movie.douban.com/subject/3742360/"
"春光乍泄","
                            导演: 王家卫<U+00A0><U+00A0><U+00A0>主演: 张国荣 / 梁朝伟 / 张震
                            1997<U+00A0>/<U+00A0>香港 日本 韩国<U+00A0>/<U+00A0>剧情 爱情 同性
                        ","8.8","225598人评价","https://movie.douban.com/subject/1292679/"
"大鱼","
                            导演: 蒂姆·波顿 Tim Burton<U+00A0><U+00A0><U+00A0>主演: 伊万·麦克格雷格 Ewan McGregor / 阿...
                            2003<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 家庭 奇幻 冒险
                        ","8.7","235967人评价","https://movie.douban.com/subject/1291545/"
"大闹天宫","
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang<U+00A0><U+00A0><U+00A0>主演: 邱岳峰 Yuefeng Qiu /...
                            1961 / 1964 / 1978 / 2004<U+00A0>/<U+00A0>中国大陆<U+00A0>/<U+00A0>动画 奇幻
                        ","9.2","89980人评价","https://movie.douban.com/subject/1418019/"
