"title" "link" "director" "star" "quote"
"81" "少年派的奇幻漂流" "https://movie.douban.com/subject/1929463/" "
                            导演: Louie Psihoyos<U+00A0><U+00A0><U+00A0>主演: John Chisholm / Mandy-Rae Cruikshank / Char...
                            2009<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>纪录片
                        " "9.0" "瑰丽壮观、无人能及的冒险之旅。"
"82" "大话西游之月光宝盒" "https://movie.douban.com/subject/1299398/" "
                                海豚的微笑，是世界上最高明的伪装。
                            " "8.9" "旷古烁今。"
"83" "鬼子来了" "https://movie.douban.com/subject/1291858/" "
                            导演: 马丁·布莱斯 Martin Brest<U+00A0><U+00A0><U+00A0>主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        " "9.1" "对敌人的仁慈，就是对自己残忍。"
"84" "蝙蝠侠：黑暗骑士" "https://movie.douban.com/subject/1851857/" "
                                史上最美的探戈。
                            " "9.0" "无尽的黑暗。"
"85" "星际穿越" "https://movie.douban.com/subject/1889243/" "
                            导演: 詹姆斯·麦克特格 James McTeigue<U+00A0><U+00A0><U+00A0>主演: 娜塔丽·波曼 Natalie Portm...
                            2005<U+00A0>/<U+00A0>美国 英国 德国<U+00A0>/<U+00A0>剧情 动作 科幻 惊悚
                        " "9.1" "爱是一种力量，让我们超越时空感知它的存在。"
"86" "两杆大烟枪" "https://movie.douban.com/subject/1293350/" "
                                一张面具背后的理想与革命。
                            " "9.0" "4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。"
"87" "飞屋环游记" "https://movie.douban.com/subject/2129039/" "
                            导演: 朗·霍华德 Ron Howard<U+00A0><U+00A0><U+00A0>主演: 罗素·克劳 Russell Crowe / 詹妮弗·...
                            2001<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>传记 剧情
                        " "8.9" "最后那些最无聊的事情，才是最值得怀念的。 "
"88" "活着" "https://movie.douban.com/subject/1292365/" "
                                爱是一切逻辑和原由。
                            " "9.0" "张艺谋最好的电影。"
