"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
"54" "钢琴家" "
                            导演: 罗曼·波兰斯基 Roman Polanski<U+00A0><U+00A0><U+00A0>主演: 艾德里安·布洛迪 Adrien Brod...
                            2002<U+00A0>/<U+00A0>法国 德国 英国 波兰<U+00A0>/<U+00A0>剧情 传记 历史 战争
                        " "9.0" "192600人评价" "https://movie.douban.com/subject/1296736/"
"55" "狮子王" "
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff<U+00A0><U+00A0><U+00A0>主演: 乔纳森·泰勒·托马...
                            1994<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 动画 冒险 歌舞 家庭
                        " "8.9" "266879人评价" "https://movie.douban.com/subject/1301753/"
"56" "被嫌弃的松子的一生" "
                            导演: 中岛哲也 Tetsuya Nakashima<U+00A0><U+00A0><U+00A0>主演: 中谷美纪 Miki Nakatani / 瑛太 E...
                            2006<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>剧情 歌舞
                        " "8.9" "259725人评价" "https://movie.douban.com/subject/1787291/"
"57" "致命魔术" "
                            导演: 克里斯托弗·诺兰 Christopher Nolan<U+00A0><U+00A0><U+00A0>主演: 克里斯蒂安·贝尔 Christ...
                            2006<U+00A0>/<U+00A0>美国 英国<U+00A0>/<U+00A0>剧情 悬疑 惊悚
                        " "8.8" "320741人评价" "https://movie.douban.com/subject/1780330/"
"58" "辩护人" "
                            导演: 杨宇硕 Woo-seok Yang<U+00A0><U+00A0><U+00A0>主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
                            2013<U+00A0>/<U+00A0>韩国<U+00A0>/<U+00A0>剧情
                        " "9.1" "183368人评价" "https://movie.douban.com/subject/21937445/"
"59" "勇敢的心" "
                            导演: 梅尔·吉布森 Mel Gibson<U+00A0><U+00A0><U+00A0>主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
                            1995<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>动作 传记 剧情 历史 战争
                        " "8.8" "283588人评价" "https://movie.douban.com/subject/1294639/"
"60" "控方证人" "
                            导演: 比利·怀尔德 Billy Wilder<U+00A0><U+00A0><U+00A0>主演: 查尔斯·劳顿 Charles Laughton / ...
                            1957<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪 悬疑
                        " "9.6" "73025人评价" "https://movie.douban.com/subject/1296141/"
"61" "剪刀手爱德华" "
                            导演: Tim Burton<U+00A0><U+00A0><U+00A0>主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...
                            1990<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 奇幻 爱情
