"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭
                        " "8.6" "298056人评价" "https://movie.douban.com/subject/1418834/"
"98" "风之谷" "
                            导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 京田尚子 H...
                            1984 / 日本 / 科幻 动画 奇幻 冒险
                        " "8.8" "164522人评价" "https://movie.douban.com/subject/1291585/"
"99" "萤火虫之墓" "
                            导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子
                            1988 / 日本 / 动画 剧情 战争
                        " "8.7" "191073人评价" "https://movie.douban.com/subject/1293318/"
"100" "摩登时代" "
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
                            1936 / 美国 / 喜剧 剧情 爱情
                        " "9.2" "79763人评价" "https://movie.douban.com/subject/1294371/"
"101" "爱在日落黄昏时" "
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            2004 / 美国 / 剧情 爱情
                        " "8.7" "185662人评价" "https://movie.douban.com/subject/1291990/"
"102" "猫鼠游戏" "
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
                            2002 / 美国 加拿大 / 传记 犯罪 剧情
                        " "8.7" "201196人评价" "https://movie.douban.com/subject/1305487/"
"103" "侧耳倾听" "
                            导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...
                            1995 / 日本 / 剧情 爱情 动画 音乐
                        " "8.8" "154873人评价" "https://movie.douban.com/subject/1297052/"
"104" "末代皇帝" "
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
                            1987 / 意大利 中国大陆 英国 法国 / 剧情 传记 历史
                        " "8.8" "146902人评价" "https://movie.douban.com/subject/1293172/"
"105" "驯龙高手" "
                            导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...
                            2010 / 美国 / 喜剧 动画 奇幻 冒险 家庭
                        " "8.7" "266185人评价" "https://movie.douban.com/subject/2353023/"
"106" "哈利·波特与魔法石" "
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
                            2001 / 美国 英国 / 奇幻 冒险
                        " "8.6" "228360人评价" "https://movie.douban.com/subject/1295038/"
"107" "超脱" "
                            导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 克里...
                            2011 / 美国 / 剧情
                        " "8.7" "159002人评价" "https://movie.douban.com/subject/5322596/"
"108" "疯狂动物城" "
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...
                            2016 / 美国 / 喜剧 动作 动画 冒险
                        " "9.2" "453303人评价" "https://movie.douban.com/subject/25662329/"
"109" "海洋" "
                            导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...
                            2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片
                        " "9.0" "94749人评价" "https://movie.douban.com/subject/3443389/"
"110" "幸福终点站" "
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
