title	score	score_num	pic	link
魂断蓝桥	8.8	121738人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2351134499.jpg	https://movie.douban.com/subject/1293964/
恋恋笔记本	8.5	258382人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p483604864.jpg	https://movie.douban.com/subject/1309163/
猜火车	8.5	228368人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p513567548.jpg	https://movie.douban.com/subject/1292528/
喜宴	8.8	124193人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173713676.jpg	https://movie.douban.com/subject/1303037/
英雄本色	8.7	135467人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2157672975.jpg	https://movie.douban.com/subject/1297574/
傲慢与偏见	8.4	277124人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p452005185.jpg	https://movie.douban.com/subject/1418200/
雨中曲	8.9	86570人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1612355875.jpg	https://movie.douban.com/subject/1293460/
教父3	8.7	119000人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2169664351.jpg	https://movie.douban.com/subject/1294240/
小森林 夏秋篇	8.9	109849人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2221319641.jpg	https://movie.douban.com/subject/25814705/
完美的世界	9.0	72229人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792403691.jpg	https://movie.douban.com/subject/1300992/
喜剧之王	8.4	278097人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1043597424.jpg	https://movie.douban.com/subject/1302425/
纵横四海	8.7	129813人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p933122297.jpg	https://movie.douban.com/subject/1295409/
玩具总动员3	8.7	181032人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1283675359.jpg	https://movie.douban.com/subject/1858711/
萤火之森	8.7	140401人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1272904657.jpg	https://movie.douban.com/subject/5989818/
人工智能	8.6	176584人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792257137.jpg	https://movie.douban.com/subject/1302827/
我是山姆	8.8	92885人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p652417775.jpg	https://movie.douban.com/subject/1306861/
香水	8.4	255464人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p470006658.jpg	https://movie.douban.com/subject/1760622/
浪潮	8.7	119317人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1344888983.jpg	https://movie.douban.com/subject/2297265/
冰川时代	8.4	250967人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910895719.jpg	https://movie.douban.com/subject/1291578/
7号房的礼物	8.7	154178人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1816276065.jpg	https://movie.douban.com/subject/10777687/
撞车	8.6	162896人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2075132390.jpg	https://movie.douban.com/subject/1388216/
哈利·波特与死亡圣器(下)	8.6	252152人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p917846733.jpg	https://movie.douban.com/subject/3011235/
花样年华	8.4	223124人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910828286.jpg	https://movie.douban.com/subject/1291557/
朗读者	8.5	261950人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1140984198.jpg	https://movie.douban.com/subject/2213597/
追随	9.0	72260人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2074443514.jpg	https://movie.douban.com/subject/1397546/
一次别离	8.7	121580人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2189835254.jpg	https://movie.douban.com/subject/5964718/
